  1  1  0  0   1
    1  0  0  0.000
    0  1  0  0.000
    0  0  1  0.000

  2  1  1  0   1
    1  0  0  0.000
    0  1  0  0.000
    0  0  1  0.000

  2  2  1  6   2
    1  0  0  0.000    1  0  0  0.500
    0  1  0  0.000    0  1  0  0.500
    0  0  1  0.000    0  0  1  0.000

  3  1  0  0   2
    1  0  0  0.000   -1  0  0  0.000
    0  1  0  0.000    0  1  0  0.000
    0  0  1  0.000    0  0 -1  0.000

  3  2  0  0   2
    1  0  0  0.000   -1  0  0  0.000
    0  1  0  0.000    0  1  0  0.000
    0  0  1  0.000    0  0 -1  0.000

  3  3  0  0   2
    1  0  0  0.000   -1  0  0  0.000
    0  1  0  0.000    0 -1  0  0.000
    0  0  1  0.000    0  0  1  0.000

  3  4  0  0   2
    1  0  0  0.000   -1  0  0  0.000
    0  1  0  0.000    0 -1  0  0.000
    0  0  1  0.000    0  0  1  0.000

  3  5  0  0   2
    1  0  0  0.000    1  0  0  0.000
    0  1  0  0.000    0 -1  0  0.000
    0  0  1  0.000    0  0 -1  0.000

  3  6  0  0   2
    1  0  0  0.000    1  0  0  0.000
    0  1  0  0.000    0 -1  0  0.000
    0  0  1  0.000    0  0 -1  0.000

  4  1  0  0   2
    1  0  0  0.000   -1  0  0  0.000
    0  1  0  0.000    0  1  0  0.500
    0  0  1  0.000    0  0 -1  0.000

  4  2  0  0   2
    1  0  0  0.000   -1  0  0  0.000
    0  1  0  0.000    0  1  0  0.500
    0  0  1  0.000    0  0 -1  0.000

  4  3  0  0   2
    1  0  0  0.000   -1  0  0  0.000
    0  1  0  0.000    0 -1  0  0.000
    0  0  1  0.000    0  0  1  0.500

  4  4  0  0   2
    1  0  0  0.000   -1  0  0  0.000
    0  1  0  0.000    0 -1  0  0.000
    0  0  1  0.000    0  0  1  0.500

  4  5  0  0   2
    1  0  0  0.000    1  0  0  0.500
    0  1  0  0.000    0 -1  0  0.000
    0  0  1  0.000    0  0 -1  0.000

  4  6  0  0   2
    1  0  0  0.000    1  0  0  0.500
    0  1  0  0.000    0 -1  0  0.000
    0  0  1  0.000    0  0 -1  0.000

  5  1  0  6   4
    1  0  0  0.000   -1  0  0  0.000    1  0  0  0.500   -1  0  0  0.500
    0  1  0  0.000    0  1  0  0.000    0  1  0  0.500    0  1  0  0.500
    0  0  1  0.000    0  0 -1  0.000    0  0  1  0.000    0  0 -1  0.000

  5  2  0  4   4
    1  0  0  0.000   -1  0  0  0.000    1  0  0  0.000   -1  0  0  0.000
    0  1  0  0.000    0  1  0  0.000    0  1  0  0.500    0  1  0  0.500
    0  0  1  0.000    0  0 -1  0.000    0  0  1  0.500    0  0 -1  0.500

  5  3  0  4   4
    1  0  0  0.000   -1  0  0  0.000    1  0  0  0.000   -1  0  0  0.000
    0  1  0  0.000    0 -1  0  0.000    0  1  0  0.500    0 -1  0  0.500
    0  0  1  0.000    0  0  1  0.000    0  0  1  0.500    0  0  1  0.500

  5  4  0  5   4
    1  0  0  0.000   -1  0  0  0.000    1  0  0  0.500   -1  0  0  0.500
    0  1  0  0.000    0 -1  0  0.000    0  1  0  0.000    0 -1  0  0.000
    0  0  1  0.000    0  0  1  0.000    0  0  1  0.500    0  0  1  0.500

  5  5  0  5   4
    1  0  0  0.000    1  0  0  0.000    1  0  0  0.500    1  0  0  0.500
    0  1  0  0.000    0 -1  0  0.000    0  1  0  0.000    0 -1  0  0.000
    0  0  1  0.000    0  0 -1  0.000    0  0  1  0.500    0  0 -1  0.500

  5  6  0  6   4
    1  0  0  0.000    1  0  0  0.000    1  0  0  0.500    1  0  0  0.500
    0  1  0  0.000    0 -1  0  0.000    0  1  0  0.500    0 -1  0  0.500
    0  0  1  0.000    0  0 -1  0.000    0  0  1  0.000    0  0 -1  0.000

  5  7  0  4   4
    1  0  0  0.000   -1  0  0  0.000    1  0  0  0.000   -1  0  0  0.000
    0  1  0  0.000    0  1  0  0.000    0  1  0  0.500    0  1  0  0.500
    0  0  1  0.000    0  0 -1  0.000    0  0  1  0.500    0  0 -1  0.500

  5  8  0  6   4
    1  0  0  0.000   -1  0  0  0.000    1  0  0  0.500   -1  0  0  0.500
    0  1  0  0.000    0  1  0  0.000    0  1  0  0.500    0  1  0  0.500
